Borough,UHF42,Zip,PoorPhysicalHealthPercent,PoorMentalHealthPercent,HighBPPercent,avgHVI,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace,Percent65plus,ForeignBornPercent,RacialDiversityIndex,MedianHouseholdIncome,PovertyRate,UnemployRate,BAdegreePercent,HomeownershipPercent
BK,210,11223,13.8,15.7,28.3,3.6666666666666665,36.4,63950.0,33.6,48.1,51.8,52.8,5.7,26.1,15.4,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,210,11224,16.9,15.9,37.3,5.0,47.6,41449.0,33.5,45.6,39.2,49.7,23.8,8.5,18.0,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,210,11229,11.9,14.1,28.5,2.8,42.5,72556.0,41.3,48.6,54.6,60.8,6.6,22.3,10.3,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,210,11235,12.9,14.1,30.4,3.6,47.2,61689.0,49.6,47.5,52.6,68.6,2.9,14.7,13.8,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,211,11206,14.9,19.6,25.8,3.5,30.7,57280.0,36.3,47.1,30.6,42.2,20.5,6.6,30.7,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,211,11221,12.0,18.0,24.8,3.75,32.8,85122.0,42.0,46.7,26.2,22.8,40.6,5.7,30.9,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,211,11237,11.9,17.6,20.6,4.0,33.3,82570.0,41.3,51.3,30.3,31.8,13.1,6.8,48.3,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
MN,301,10031,14.5,18.1,27.7,3.0,37.1,65067.0,40.9,49.4,28.5,21.1,28.8,4.3,45.8,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,301,10032,14.0,16.6,27.9,2.5,38.4,56588.0,39.8,47.9,25.2,21.6,16.2,5.0,57.2,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,301,10033,14.4,16.5,26.1,1.5,37.7,75585.0,41.3,50.3,31.6,33.5,7.1,3.4,56.0,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,301,10034,14.6,16.2,27.3,2.0,38.1,69786.0,39.2,47.5,34.8,26.9,11.2,3.2,58.7,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,301,10040,14.9,16.5,27.7,2.0,41.5,64022.0,38.3,47.7,34.3,26.5,6.7,1.8,65.0,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,302,10026,12.8,17.1,29.1,2.6666666666666665,37.6,74140.0,53.5,47.4,31.1,26.5,47.8,6.4,19.3,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
